2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
C. Woodruff,C. Pioline,M. Philippoussis,F. Vicente,J. Nieminen,A. Montañes,A. Seppi,M. Gicquel,M. Daniel,M. Gicquel
M. Larsson,A. Montañes,H. Arazi,K. Beck,R. Mello,I. Minar,J. Mónaco,C. Berlocq,Y. Lu,P. Luczak
A. Calleri,C. Rochus,F. López,M. Ancic,O. Rochus,R. Vik,J. Gimelstob,N. Mahut,I. Navarro,M. Daniel
M. Damm,J. Vacek,F. Meligeni,L. Horna,J. Acasuso,J. Hernych,M. Safin,M. Russell,F. Fognini,I. Minar
J. Stoltenberg,L. Burgsmuller,R. Stepanek,R. Ramirez Hidalgo,D. Tursunov,O. Hernandez,W. Moodie,N. Massú,I. Kunitsyn,E. Korolev
N. Massú,V. Voltchkov,R. Sluiter,J. Acasuso,J. Gambill,R. Sabau,D. Sanguinetti,M. Vassallo Arguello,N. Mahut,Y. Lu
M. Hantschk,H. Levy,L. Burgsmuller,M. Norman,J. Benneteau,J. Mónaco,B. Becker,D. Hartfield,J. Chardy,R. Ginepri
C. Rochus,J. Diaz,B. Ulihrach,J. van Lottum,R. Stepanek,A. Seppi,V. Spadea,A. Seppi,P. Starace,O. Hernandez
S. Sargsian,A. Stoliarov,A. Montañes,V. Hanescu,P. Mathieu,F. Mayer,P. Goldstein,M. Berrer,T. Johansson,M. Ancic
J. Tarango,N. Massú,N. Davydenko,A. Portas,G. Carraz,M. Baghdatis,G. García-López,V. Spadea,O. Hernandez,A. Martin
A. Popp,O. Rochus,F. Saretta,B. Vahaly,F. Mantilla,K. Kim,J. Hajek,B. Becker,T. Bellucci,M. Granollers
A. Sa,A. Ilie,P. Mathieu,W. Moodie,G. Rusedski,N. Lapentti,F. López,K. Vliegen,D. Gimeno-Traver,T. Gabashvili
R. Fromberg,M. Hipfl,H. Lee,J. Melzer,S. Koubek,N. Djokovic,S. Greul,I. Kunitsyn,C. Guccione,K. Vliegen
