Posicion,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
21,B. Gottfried,R. Ramirez,J. Kodes,J. Newcombe,T. Roche,B. Mottram,U. Pinner,V. Amritraj,J. Sadri,R. Ramirez,H. Leconte,S. Edberg,H. Sundstrom,G. Vilas,G. Perez-Roldan,E. Sanchez,A. Gomez,M. Jaite,B. Gilbert,B. Gilbert,A. Agassi,J. Stoltenberg,G. Schaller,M. Stich,M. Philippoussis,F. Mantilla,M. Philippoussis,R. Krajicek,G. Canas,G. Gaudio,F. Mantilla,F. González,R. Ginepri,N. Djokovic,L. Hewitt,M. Youzhny,J. Ferrero,S. Querrey,J. Melzer,T. Haas,K. Anderson,R. Gasquet,D. Thiem,G. Dimitrov,J. Sock,P. Carreño Busta,S. Wawrinka
22,R. Tanner,J. Alexander,C. Richey,J. Fillol Sr.,A. Panatta,J. Newcombe,S. Smith,S. Smith,F. Buehning,T. Smid,H. Sundstrom,F. Cancellotti,D. Pate,K. Curren,S. Zivojinovic,J. McEnroe,H. Skoff,H. Leconte,J. Svensson,K. Novacek,W. Ferreira,A. Gaudenzi,P. Haarhuis,A. Boetsch,M. Rosset,T. Johansson,D. Hrbaty,Y. El Aynaoui,A. Portas,M. Rios,A. Costa,J. Chela,T. Dent,D. Tursunov,D. Nalbandian,M. Cilic,S. Wawrinka,A. Montañes,F. Mayer,M. Fish,A. Seppi,T. Robredo,V. Troicki,B. Tomic,G. Muller,M. Cecchinato,G. Pella
23,J. Fillol Sr.,J. Fillol Sr.,E. Dibbs,R. Lutz,J. Borowiak,K. Rosewall,H. Gildemeister,B. Teacher,A. Panatta,C. Hooper,B. Teacher,T. Mayotte,J. Clerc,P. Annacone,G. Forget,K. Curren,E. Sanchez,H. Skoff,A. Mancini,A. Mansdorf,H. Holm,P. Rafter,J. Eltingh,M. Rosset,C. Pioline,T. Muster,M. Norman,A. Costa,N. Lapentti,J. Chela,M. Fish,V. Spadea,F. López,N. Kiefer,J. Ferrero,M. Fish,P. Kohlschreiber,J. Isner,F. Verdasco,F. Verdasco,J. Tipsarevic,A. Dolgopolov,R. Bautista Agut,S. Johnson,L. Pouille,H. Chung,B. Paire
24,B. Fairlie,A. Pattison,M. Cox,S. Mayer,A. Ashe,T. Gullikson,M. Orantes,H. Gildemeister,R. Lutz,J. Arias,C. Lewis (NZL),H. Leconte,J. Arias,T. Wilkison,T. Smid,M. Pernfors,K. Curren,M. Gustafsson,A. Volkov,E. Sanchez,A. Boetsch,A. Boetsch,J. Siemerink,A. Corretja,J. Courier,M. Gustafsson,T. Johansson,M. Chang,S. Schalken,F. González,M. Zabaleta,G. Kuerten,M. Ancic,M. Youzhny,P. Mathieu,N. Kiefer,J. Blake,F. López,R. Stepanek,M. Granollers,P. Kohlschreiber,P. Kohlschreiber,G. Monfils,A. Zverev,J. del Potro,K. Khachanov,L. Pouille
25,D. Stockton,F. Jauffret,B. Gottfried,R. Case,J. McEnroe,S. Smith,V. Amaya,B. Taroczy,V. Amritraj,B. Gottfried,W. Fibak,L. Pimek,H. Leconte,J. Hlasek,A. Mansdorf,D. Cahill,C. Van Rensburg,R. Fromberg,J. McEnroe,F. Clavet,G. Forget,C. Pioline,A. Costa,C. Moya,M. Larsson,N. Kiefer,A. Costa,J. Gambill,A. Pavel,X. Malisse,W. Ferreira,M. Ancic,J. Novak,J. Acasuso,J. Nieminen,P. Mathieu,S. Querrey,E. Gulbis,M. Cilic,A. Seppi,F. López,L. Mayer,A. Seppi,J. Sock,A. Ramos Viñolas,R. Gasquet,M. Raonic
26,C. Drysdale,T. Roche,A. Panatta,C. Drysdale,S. Mayer,J. Lloyd,E. Teltscher,H. Gunthardt,S. Smith,M. Purcell,H. Pfister,S. Davis,G. Holmes,M. Anger,K. Curren,R. Agenor,M. Mecir Sr.,J. Hlasek,A. Chesnokov,C. Steeb,A. Mansdorf,M. Washington,P. Korda,J. Stoltenberg,A. Medvedev,F. Clavet,F. Meligeni,A. Pavel,G. Rusedski,J. Blake,M. Safin,J. Novak,M. Youzhny,R. Gasquet,N. Almagro,D. Tursunov,L. Hewitt,J. Ferrero,I. Ljubicic,S. Querrey,J. Melzer,L. Rosol,J. Chardy,J. Isner,M. Zverev,R. Bautista Agut,G. Dimitrov
27,J. Alexander,M. Cox,R. Lutz,O. Parun,R. Lutz,R. Lutz,B. Taroczy,J. Higueras,T. Smid,H. Pfister,R. Van't Hof,K. Curren,J. Gunnarsson,S. Zivojinovic,E. Bengoechea,J. Hlasek,S. Bruguera,K. Novacek,H. Skoff,J. Arrese,A. Chesnokov,P. Haarhuis,A. Boetsch,F. Clavet,A. Berasategui,G. Kuerten,Y. El Aynaoui,S. Grosjean,N. Escude,M. Mirnyi,M. Mirnyi,I. Ljubicic,M. Mirnyi,D. Hrbaty,M. Safin,T. Berdych,P. Mathieu,T. Bellucci,J. Mónaco,A. Roddick,E. Gulbis,N. Almagro,T. Robredo,F. López,F. Fognini,N. Kyrgios,N. Kyrgios
28,K. Meiler,C. Richey,R. Case,V. Amritraj,P. Bertolucci,T. Roche,T. Smid,B. Scanlon,M. Purcell,T. Mayotte,T. Smid,B. Gilbert,H. Gunthardt,R. Seguso,J. Kriek,A. Mansdorf,P. Cane,R. Agenor,R. Reneberg,A. Cherkasov,M. Woodforde,I. Lendl,A. Corretja,P. Haarhuis,T. Woodbridge,T. Martin,M. Zabaleta,A. Clement,D. Hrbaty,R. Schuettler,N. Massú,M. Fish,T. Henman,F. Verdasco,P. Starace,A. Seppi,V. Hanescu,M. Llodra,F. López,M. Youzhny,B. Paire,J. Benneteau,J. Sock,S. Querrey,D. Ferrer,D. Dzumhur,M. Cilic
29,R. Ramirez,N. Pilic,K. Meiler,C. Richey,C. Drysdale,B. Taroczy,J. Kriek,P. Dupre,J. Higueras,E. Dibbs,M. Purcell,P. McNamee,P. Cash,A. Krickstein,J. Hlasek,D. Goldie,J. Yzaga,R. Reneberg,A. Jarryd,J. Hlasek,M. Washington,S. Dosedel,P. McEnroe,J. Siemerink,M. Norman,B. Black,J. Golmard,N. Escude,H. Arazi,T. Enqvist,F. López,T. Dent,G. Rusedski,G. Monfils,D. Tursunov,R. Stepanek,D. Sela,D. Nalbandian,J. Chela,F. Mayer,G. Dimitrov,I. Karlovic,F. Fognini,G. Simon,D. Schwartzman,F. Verdasco,D. Lajovic
30,G. Vilas,B. Gottfried,S. Smith,B. Mottram,B. Mottram,H. Gildemeister,I. Lendl,V. Pecci Sr.,H. Gildemeister,R. Tanner,T. Mayotte,J. Lloyd,A. Krickstein,M. Srejber,J. Gunnarsson,J. Fitzgerald,M. Pernfors,P. Korda,J. Sanchez,A. Medvedev,R. Reneberg,K. Novacek,A. Volkov,R. Reneberg,C. Woodruff,F. Santoro,S. Grosjean,G. Gaudio,T. Enqvist,N. Lapentti,Y. Kafelnikov,G. Canas,G. Canas,O. Rochus,I. Karlovic,G. Monfils,N. Almagro,R. Gasquet,M. Raonic,J. Chardy,J. Mónaco,S. Giraldo,T. Bellucci,P. Kohlschreiber,R. Gasquet,S. Johnson,T. Fritz
