1973,1974,1975,1976,1977,1978,1979
J. Borowiak,L. Johansson,B. Giltinan,P. Cornejo,I. Molina,R. Ruffels,F. Gonzalez
P. Cornejo,C. Graebner,R. Kreiss,M. Cahill,D. Joubert,E. Deblicker,M. Mitchell
J. McManus,H. Ploetz,A. Zugarelli,T. Koch,A. Pattison,G. Ocleppo,J. Velasco Sr
S. Baranyi,G. Battrick,A. Amritraj,M. Estep,A. Stone,J. Kodes,A. Pierola
P. Cramer,B. Giltinan,G. Reid,S. Krulevitz,M. Fishbach,A. Amritraj,J. Haillet
H. Kary,I. Molina,C. Owens,S. Ball,H. Pohmann,W. Zirngibl,P. Dent
T. Edlefsen,J. Whitlinger,J. Caujolle,E. Van Dillen,W. Prinsloo,J. James,B. Martin
J. Bartlett,M. Estep,R. Emerson,B. Hewitt,J. Feaver,O. Bengtson,S. Stewart
A. Amritraj,J. Delaney,K. Johansson,I. El Shafei,P. Cornejo,D. Crealy,L. Sanders
J. Mandarino,J. Ganzabal,B. Teacher,A. Gimenez,P. Kronk,B. Scanlon,F. Taygan
T. Addison,R. Ruffels,,,,,G. Malin
T. Ulrich,R. Kreiss,,,,,R. Crawford
T. Leonard,K. Johansson,,,,,
J. Feaver,O. Davidson,,,,,
F. Pala,J. Kamiwazumi,,,,,
G. Stilwell,D. Dell,,,,,
J. Loyo-Mayo,C. Owens,,,,,
N. Kalogeropoulos,W. Brown,,,,,
R. McKinley,S. Mayer,,,,,
T. Sakai,F. McNair IV,,,,,
T. Ryan,A. Munoz,,,,,
P. Lall,B. Prajoux,,,,,
R. Barth,R. Keldie,,,,,
K. Warwick,J. Simpson,,,,,
S. Faulk,J. Pinto-Bravo,,,,,
W. Lloyd,J. Singh,,,,,
V. Korotkov,B. Teacher,,,,,
V. Gerulaitis,T. Leonard,,,,,
H. Pohmann,F. Pala,,,,,
C. Dowdeswell,T. Sakai,,,,,
T. Nowicki,F. Stolle,,,,,
H. Elschenbroich,G. Stilwell,,,,,
R. Gonzales,T. Edlefsen,,,,,
G. Scott,V. Amaya,,,,,
B. Giltinan,J. McManus,,,,,
L. Johansson,J. Chanfreau,,,,,
J. Mukerjea,B. Jovanovic,,,,,
M. Belkin,C. Dowdeswell,,,,,
O. Davidson,J. Kuki,,,,,
A. Gimeno,H. Rahim,,,,,
P. Kanderal,M. Vazquez,,,,,
R. Ruffels,M. Anderson,,,,,
T. Svensson,J. Austin,,,,,
J. Whitlinger,H. Hose,,,,,
C. Owens,A. Korpas,,,,,
B. Martin,J. Andrews,,,,,
B. Mottram,R. Barth,,,,,
J. Rouyer,M. Cahill,,,,,
J. Delaney,H. Elschenbroich,,,,,
D. Bohrnstedt,N. Spear,,,,,
J. Thamin,W. N'Godrella,,,,,
J. Pinto-Bravo,B. Carmichael,,,,,
B. Teacher,M. Farrell,,,,,
B. Mignot,R. Fisher,,,,,
D. Dell,D. Crawford,,,,,
W. Bungert,J. Loyo-Mayo,,,,,
E. Castigliano,S. Warboys,,,,,
T. Christensen,T. Ulrich,,,,,
B. Csoknyai,T. Nowicki,,,,,
F. Falderbaum,D. Ralston,,,,,
H. Fitzgibbon,J. Caujolle,,,,,
J. Haillet,J. Feaver,,,,,
G. Hardie,B. Bertram,,,,,
R. Hernando,T. Ovici,,,,,
J. Hordijk,P. Cramer,,,,,
R. Hoskowetz,S. Faulk,,,,,
T. Kakoulia,F. Gebert,,,,,
P. Kronk,V. Gerulaitis,,,,,
C. Letcher,J. Lundquist,,,,,
M. Machette,B. Mitton,,,,,
G. Merlo,A. Neely,,,,,
B. Mitton,J. Bartlett,,,,,
T. Moor,F. Froehling,,,,,
P. Musalem,J. Mandarino,,,,,
U. Pinner,K. McMillan,,,,,
D. Russell,T. Svensson,,,,,
S. Stewart,P. Szoke,,,,,
S. Tarpischev,V. Franchitti,,,,,
A. Volkov,P. Kanderal,,,,,
S. Warboys,R. Seegers,,,,,
E. Di Matteo,R. Thung,,,,,
J. Singh,D. Bohrnstedt,,,,,
A. Korpas,G. Hardie,,,,,
R. Machan,K. Hancock,,,,,
T. Ovici,W. Higgins,,,,,
V. Franchitti,P. Lall,,,,,
J. Couder,U. Pinner,,,,,
K. McMillan,F. Ponte,,,,,
F. McNair IV,J. Andrew,,,,,
M. Vazquez,D. Joubert,,,,,
J. Benyik,R. Rheinberger,,,,,
B. Bertram,T. Ryan,,,,,
J. Castanon,F. Taygan,,,,,
R. Chavez,R. Gonzales,,,,,
F. Gebert,W. Lloyd,,,,,
Z. Guerry,P. Rodriguez,,,,,
P. Hombergen,G. Scott,,,,,
R. Kreiss,K. Tanabe,,,,,
R. Lewis,T. Waltke,,,,,
R. Norberg,E. Alvarez,,,,,
A. Olmedo,K. Hirai,,,,,
B. Prajoux,T. Kakoulia,,,,,
P. Toci,R. Machan,,,,,
E. Alvarez,J. Paish,,,,,
J. Kukal,J. Pisecky,,,,,
G. Reid,B. Andersson,,,,,
V. Amaya,H. Bunis,,,,,
S. Ball,E. Cruz,,,,,
P. Dupre,E. Deblicker,,,,,
H. Engert,J. Fort,,,,,
J. Ganzabal,J. Haillet,,,,,
W. Higgins,M. Mulligan,,,,,
K. Johansson,J. Thamin,,,,,
D. Ralston,S. Turner,,,,,
P. Rodriguez,J. Cooper,,,,,
J. Herrera,J. Hagey,,,,,
I. Gulyas,N. Holmes,,,,,
D. Lloyd,J. Rouyer,,,,,
N. Spear,M. Santana,,,,,
J. Velasco Sr,B. Seewagen,,,,,
H. Hose,R. Benavides,,,,,
F. Robbins,J. Benyik,,,,,
S. Krulevitz,E. Di Matteo,,,,,
,N. Fraser,,,,,
,J. Kukal,,,,,
,D. Naegelen,,,,,
,M. Powers,,,,,
,D. Sturdza,,,,,
,T. Addison,,,,,
,A. Amritraj,,,,,
,S. Baranyi,,,,,
,T. Bardsley,,,,,
,P. Dupre,,,,,
,Z. Guerry,,,,,
,J. Hordijk,,,,,
,C. Kuhnke,,,,,
,S. Likhachev,,,,,
,M. Machette,,,,,
,J. Muntanola,,,,,
,A. Olmedo,,,,,
,N. Saviano,,,,,
,D. Schroder,,,,,
,J. Zabrodsky,,,,,
,J. Barclay,,,,,
,L. Bruguera,,,,,
,J. Herrera,,,,,
,N. Kalogeropoulos,,,,,
,A. Martorell,,,,,
,S. Menon,,,,,
,J. Moreno,,,,,
,D. Russell,,,,,
,G. Thomson,,,,,
,T. Akbari,,,,,
,G. Amaya,,,,,
,T. Bernasconi,,,,,
,R. Chavez,,,,,
,W. Durham,,,,,
,E. Ewert,,,,,
,J. Guerrero,,,,,
,B. Holmstrom,,,,,
,J. James,,,,,
,P. Joly,,,,,
,N. Kelaidis,,,,,
,T. Koura,,,,,
,R. Krishnan,,,,,
,A. Misra,,,,,
,J. Mukerjea,,,,,
,R. Norberg,,,,,
,O. Palmer,,,,,
,S. Siegel,,,,,
,P. Toci,,,,,
,G. Varga,,,,,
,O. Agudelo,,,,,
,M. Belkin,,,,,
,A. Betancur,,,,,
,R. Casey,,,,,
,M. Iqbal,,,,,
,D. Lloyd,,,,,
,B. Manson,,,,,
,A. Marcial,,,,,
,P. Marzano,,,,,
,S. Meer,,,,,
,Z. Mencek,,,,,
,P. Meyers,,,,,
,B. Mignot,,,,,
,L. Parker,,,,,
,M. Shires,,,,,
,J. Soares,,,,,
,L. Turville,,,,,
,M. Wayman,,,,,
,T. Allan,,,,,
,B. Bailey,,,,,
,W. Blocher,,,,,
,J. Castanon,,,,,
,T. Christensen,,,,,
,J. Clifton,,,,,
,W. Coghlan,,,,,
,D. Contet,,,,,
,A. Cooper,,,,,
,A. Cornejo,,,,,
,S. Docherty,,,,,
,W. Fibak,,,,,
,A. Hammond,,,,,
,P. Hombergen,,,,,
,P. Jemsby,,,,,
,V. Korotkov,,,,,
,M. Kreiss,,,,,
,C. Letcher,,,,,
,R. Lewis,,,,,
,G. Marcu,,,,,
,D. Martin,,,,,
,A. McDonald,,,,,
,R. McKinley,,,,,
,S. Messmer,,,,,
,S. Meyers,,,,,
,B. Montrenaud,,,,,
,T. Moor,,,,,
,V. Pecci Sr.,,,,,
,M. Phillips,,,,,
,P. Pokorny,,,,,
,T. Roepcke,,,,,
,F. Sedgman,,,,,
,M. Senior,,,,,
,C. Stubs,,,,,
,L. Tavares,,,,,
,A. Volkov,,,,,
