1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
S. Davis,J. Fleurian,G. Pozzi,H. Skoff,M. Zoecke,A. Chesnokov,T. Carbonell,J. Sanchez,G. Pozzi,D. Vacek
A. Antonitsch,M. Wilander,O. Delaitre,R. Furlan,S. Pescosolido,K. Kucera,C. Ruud,S. Schalken,M. Puerta,K. Alami
J. Sanchez,O. Delaitre,R. Gilbert,J. Morgan,M. Filippini,J. Palmer,V. Spadea,R. Reneberg,S. Dosedel,S. Sargsian
J. Yzaga,M. Vajda,J. Connors,S. Simian,F. Davin,S. Dosedel,A. Radulescu,T. Martin,B. Becker,A. Martin
M. Koevermans,J. Arias,J. Yzaga,G. Perez-Roldan,D. Rikl,L. Roux,K. Carlsen,B. Black,J. Alonso,M. Puerta
E. Jelen,N. Kulti,F. Roig,C. Adams,T. Carbonell,S. Matsuoka,Y. El Aynaoui,C. Ruud,M. Tillstrom,M. Chang
M. Stich,A. Mansdorf,S. Matsuoka,J. Tarango,J. Arrese,V. Spadea,D. Prinosil,D. Vacek,N. Lapentti,J. Siemerink
G. Bloom,J. Connors,R. Reneberg,J. Oncins,J. Hlasek,M. Damm,S. Bruguera,H. Gumy,R. Delgado,S. Dosedel
M. Wilander,J. Gunnarsson,T. Carbonell,D. Rostagno,H. Holm,R. Reneberg,R. Carretero,S. Sargsian,A. Voinea,D. Nestor
H. De La Pena,W. Ferreira,G. Prpic,P. McEnroe,A. Mansdorf,O. Delaitre,S. Stolle,J. Van Herck,K. Carlsen,C. Woodruff
V. Paloheimo,D. Cahill,S. Stolle,K. Carlsen,C. Adams,D. Prinosil,M. Damm,J. Stark,M. Damm,M. Hipfl
M. Srejber,C. Saceanu,J. Svensson,A. Corretja,K. Kucera,K. Carlsen,G. Rusedski,J. Stoltenberg,T. Woodbridge,M. Gustafsson
A. Rahunen,S. Matsuoka,N. Kulti,G. Raoux,B. Gilbert,A. Jarryd,N. Kulti,N. Kiefer,O. Gross,G. Canas
R. Furlan,L. Mattar,B. Wuyts,J. Burillo,J. Renzenbrink,M. Joyce,J. Burillo,H. Dreekmann,J. Courier,A. Portas
P. Lundgren,L. Jonsson,C. Van Rensburg,A. Olhovskiy,J. Bates,K. Alami,G. Schaller,P. Haarhuis,A. Medvedev,G. Gaudio
T. Woodbridge,G. Markus,M. Zoecke,T. Carbonell,H. Leconte,S. Pescosolido,K. Alami,T. Haas,J. Tarango,M. Woodforde
B. Pearce,G. Connell,M. Schapers,J. Eltingh,H. Dreekmann,J. Stark,G. Raoux,L. Roux,D. Prinosil,J. Tarango
R. Krishnan,S. Pescosolido,B. Shelton,Y. El Aynaoui,M. Goellner,J. Apell,A. Volkov,F. Meligeni,A. Pavel,C. Mamiit
N. Kulti,A. Mronz,J. Eltingh,H. Leconte,E. Sanchez,S. Schalken,A. Chesnokov,A. Radulescu,S. Grosjean,B. Ulihrach
T. Champion,T. Mayotte,C. Miniussi,B. Black,B. Black,J. Burillo,K. Kucera,G. Stafford,F. Vicente,G. Blanco
T. Carbonell,T. Carbonell,J. Grabb,H. De La Pena,Y. El Aynaoui,J. Tarango,M. Goellner,S. Stolle,J. Marin,B. Black
M. Woodforde,M. Filippini,K. Curren,J. Frana,F. Clavet,M. Goellner,J. Kroslak,M. Tillstrom,G. Canas,N. Escude
M. Larsson,C. Costa,L. Mattar,A. Antonitsch,J. Tarango,T. Carbonell,B. Steven,J. Gimelstob,S. Schalken,K. Carlsen
C. Bergstrom,P. Kuhnen,S. Youl,A. Gaudenzi,G. Forget,J. Novak,J. Viloca-Puig,D. Pescariu,J. Novak,P. Wessels
J. Gunnarsson,H. De La Pena,H. Leconte,D. Prinosil,A. O'Brien,C. Steeb,B. Karbacher,A. O'Brien,H. Dreekmann,P. Goldstein
F. Santoro,P. Baur,M. Naewie,A. Jarryd,L. Jonsson,F. Fetterlein,H. Arazi,A. Gaudenzi,L. Arnold Ker,J. Gimelstob
M. Mecir Sr.,E. Jelen,L. Herrera,G. Pozzi,J. Apell,S. Draper,J. Tarango,R. Furlan,M. Goellner,J. van Lottum
N. Kroon,J. Frana,T. Champion,F. Clavet,L. Mattar,N. Marques,R. Fromberg,C. Costa,S. Lareau,G. Pozzi
M. Washington,K. Curren,T. Witsken,B. Shelton,G. Raoux,A. Olhovskiy,M. Norman,J. Viloca-Puig,A. Clement,R. Fromberg
P. Cane,A. Boetsch,G. Lopez,P. Rafter,J. Grabb,M. Philippoussis,M. Joyce,R. Fromberg,L. Paes,H. Gumy
D. Goldie,B. Wuyts,L. Lavalle,J. Arrese,J. Fleurian,K. Novacek,S. Draper,N. Lapentti,G. Blanco,L. Tieleman
P. Cash,G. Lopez,J. Bates,S. Dosedel,J. Morgan,R. Fromberg,J. Frana,M. Ondruska,S. Campbell,J. Knippschild
F. Clavet,L. Herrera,R. Agenor,K. Braasch,M. Petchey,C. Moya,C. Steeb,K. Carlsen,J. van Lottum,A. Berasategui
G. Connell,G. Raoux,J. Stark,M. Filippini,N. Pereira,D. Rikl,G. Stafford,G. Schaller,M. Zabaleta,W. Arthurs
G. Layendecker,J. Eltingh,P. McEnroe,L. Herrera,C. Bergstrom,H. Gumy,T. Johansson,J. Kroslak,A. Portas,M. Filippini
J. Stoltenberg,P. Cash,L. Jonsson,D. Vacek,M. Hadad,M. Tebbutt,A. Olhovskiy,D. Sanguinetti,W. Black,A. Gaudenzi
K. Jones,M. Zoecke,A. Jarryd,J. Grabb,J. Frana,E. Sanchez,G. Blanco,F. Vicente,S. Sargsian,S. Lareau
P. Chamberlin,E. Masso,A. Antonitsch,O. Camporese,R. Gilbert,S. Noszaly,S. Simian,A. Pavel,J. Van Herck,R. Federer
A. Mancini,G. Muller,M. Gorriz,G. Markus,F. Meligeni,S. Lareau,N. Pereira,E. Benfele Alvarez,B. Steven,M. Mirnyi
T. Benhabiles,J. Oncins,T. Martin,R. Gilbert,K. Alami,F. Santoro,K. Goossens,J. Burillo,M. Woodforde,X. Malisse
P. Annacone,R. Fromberg,G. Raoux,F. Meligeni,N. Kulti,M. Hadad,N. Godwin,J. Knippschild,T. Nydahl,M. Rodriguez
J. Bates,R. Azar,H. Skoff,D. Nargiso,P. McEnroe,J. Golmard,D. Hrbaty,A. Voinea,J. Gimelstob,A. Dupuis
U. Riglewski,J. Tarango,L. Koslowski,O. Delaitre,A. Olhovskiy,J. Stoltenberg,J. Stark,A. Agassi,A. Di Pasquale,I. Ljubicic
C. Motta,A. Gomez,D. Nargiso,R. Agenor,O. Gross,M. Filippini,G. Kuerten,A. Martin,M. Rodriguez,R. Agenor
B. Shelton,L. Koslowski,G. Schaller,G. Schaller,G. Pozzi,G. Raoux,D. Van Scheppingen,R. Vasek,A. Calatrava,A. Voinea
R. Azar,F. Fontang,K. Carlsen,T. Woodbridge,J. Siemerink,C. Caratti,N. Lapentti,J. Marin,D. Pescariu,J. Diaz
J. Rive,G. Bloom,M. Goellner,G. Stafford,B. Shelton,M. Gustafsson,J. Fleurian,F. Roig,C. Ruud,N. Kulti
O. Delaitre,D. Marcelino,J. Stoltenberg,G. Prpic,J. Svensson,J. Yzaga,J. Van Herck,M. Sinner,D. Van Scheppingen,M. Damm
P. Kuhnen,P. Lundgren,K. Braasch,J. Bjorkman,J. Burillo,A. Lopez Moron,M. Filippini,V. Spadea,J. Viloca-Puig,H. Dreekmann
D. Perez,R. Gilbert,R. Fromberg,F. Davin,B. Larkham,O. Martinez,D. Nestor,G. Pozzi,Y. El Aynaoui,R. Delgado
J. Woehrmann,B. Shelton,F. Fontang,M. Damm,V. Spadea,J. Van Herck,M. Zabaleta,P. Fredriksson,D. Nargiso,G. Raoux
F. Luna,D. Nargiso,T. Enqvist,P. Kuhnen,L. Roux,O. Gross,I. Truyol,M. Martelli,J. Burillo,L. Manta
J. Pugh,S. Davis,P. Kuhnen,A. O'Brien,K. Carlsen,T. Ho,O. Camporese,L. Paes,V. Santopadre,B. Becker
M. Tauson,D. Pate,J. Frana,S. Pescosolido,B. Steven,J. Bates,L. Roux,M. Craca,H. Gumy,O. Stanoytchev
J. Altur,T. Hogstedt,M. Strelba,A. Mancini,M. Rios,H. Dreekmann,S. Matsuoka,O. Delaitre,D. Nestor,A. Pretzsch
M. Strelba,J. Stoltenberg,A. Corretja,C. Van Rensburg,G. Markus,C. Adams,M. Hadad,T. Nydahl,J. Sanchez,G. Bastl
C. Caratti,C. Pistolesi,P. Baur,R. Weiss,D. Prinosil,M. Ondruska,D. Wheaton,N. Escude,L. Tieleman,B. Karbacher
A. Sznajder,J. Grabb,F. Montana,J. Fleurian,D. Poliakov,L. Rehmann,L. Arnold Ker,O. Gross,A. O'Brien,G. Puentes
D. Pate,D. Poliakov,C. Pridham,J. Palmer,G. Stafford,G. Pozzi,M. Knowles,A. Calatrava,O. Stanoytchev,D. Sanguinetti
N. Marques,C. Adams,C. Pistolesi,J. Altur,M. Ruah,D. Norman,M. Ondruska,J. Golmard,B. Karbacher,F. Jonsson
L. Jonsson,F. Roese,A. Olhovskiy,C. Wilkinson,S. Bryan,B. Shelton,O. Ogorodov,S. Koubek,M. Tebbutt,V. Liukko
T. Hogstedt,C. Miniussi,C. Mezzadri,C. Caratti,A. Cherkasov,A. Mronz,S. Pescosolido,W. Black,G. Grant,T. Zib
J. Connors,T. Witsken,D. Perez,M. Velev,A. Mronz,N. Kulti,F. Santoro,F. Squillari,M. Sinner,J. Alonso
B. Garrow,P. Arraya,C. Adams,C. Mezzadri,P. Cane,L. Paes,F. Meligeni,J. Frana,M. Kohlmann,W. Black
C. Pistolesi,U. Riglewski,A. Thoms,N. Borwick,O. Martinez,A. Portas,T. Champion,J. Diaz,M. Filippini,M. Larsson
M. Vajda,H. Holm,A. Gomez,M. Zoecke,M. Ondruska,S. Campbell,S. Lareau,C. Caratti,D. Dier,T. Behrend
R. Weiss,A. Olhovskiy,G. Muller,D. Orsanic,M. Wilander,R. Vasek,M. Tebbutt,S. Lareau,S. Bruguera,M. Tabara
D. Engel,M. Schapers,J. Morgan,M. Hadad,F. Dewulf,G. Etlis,D. Rikl,S. Campbell,C. Vinck,L. Burgsmuller
S. Pescosolido,N. Marques,M. Ondruska,K. Thorne,D. Nargiso,K. Goossens,M. Gorriz,O. Ogorodov,T. Suzuki,A. Lopez Moron
E. Masso,C. Van Rensburg,M. Tillstrom,S. Matsuoka,S. Lareau,Y. El Aynaoui,C. Caratti,D. Norman,B. MacPhie,J. Chela
C. Pioline,M. Gorriz,J. Altur,D. Rikl,W. Masur,C. Woodruff,G. Pozzi,G. Canas,A. Lopez Moron,T. Muster
A. Jarryd,M. Woodforde,R. Azar,C. Pridham,C. Steeb,K. Braasch,O. Stanoytchev,V. Santopadre,M. Ondruska,P. Haarhuis
L. Duncan,C. Mezzadri,J. Cunha-Silva,Y. Kafelnikov,A. Mancisidor,D. Rostagno,F. Fetterlein,D. Scala,S. Koubek,M. Kratochvil
F. Roig,C. Garner,M. Damm,D. Flach,R. Weiss,J. Morgan,J. Cunha-Silva,B. Karbacher,G. Stafford,A. Calleri
J. Cunha-Silva,P. Cane,B. Black,G. Rusedski,A. Antonitsch,F. Dewulf,E. Sanchez,A. Cherkasov,A. Sa,A. Vinciguerra
J. Anderson,T. Martin,D. Prinosil,S. Bryan,F. Roig,C. Arriens,E. Benfele Alvarez,S. Edberg,J. Diaz,O. Ogorodov
B. Wuyts,B. Black,B. Steven,D. Witt,T. Woodbridge,F. Mantilla,J. Golmard,N. Kulti,J. Knippschild,M. Hantschk
J. Tarango,G. Pozzi,R. Weiss,J. Bates,M. Tebbutt,P. Wekesa,A. Hernandez,O. Burrieza-Lopez,I. Heuberger,A. Popp
G. Raoux,A. Antonitsch,A. Mronz,J. Cunha-Silva,P. Kuhnen,M. Charpentier,P. Fredriksson,D. Van Scheppingen,N. Godwin,M. Kohlmann
J. Brown,S. Dosedel,M. Stringari,L. Tieleman,R. Jabali,L. Morejon,N. Marques,A. Volkov,L. Roux,A. Savolt
A. Mronz,M. Strelba,T. Guardiola,C. Arriens,M. Tillstrom,N. Pereira,N. Kiefer,J. van Lottum,M. Carlsson,V. Voltchkov
L. Wahlgren,V. Roubicek,G. Bloom,R. Matuszewski,S. Matsuoka,A. Chang,M. Charpentier,F. Fetterlein,M. Craca,S. Huet
S. Matsuoka,M. Sinner,A. Berasategui,S. Cortes,G. Solves,T. Henman,J. Knippschild,M. Washington,J. Kroslak,G. Etlis
T. Nijssen,J. Anderson,G. Rusedski,N. Pereira,H. Gumy,J. Kroslak,L. Paes,C. Van Garsse,M. Martelli,J. Boutter
J. Siemerink,M. Ondruska,R. Matuszewski,G. Bloom,C. Ruud,T. Johansson,T. Nydahl,K. Ullyett,C. Wilkinson,J. Viloca-Puig
P. Arraya,K. Braasch,M. Valeri,C. Garner,T. Ho,C. Wilkinson,J. Diaz,A. Richardson,T. Ketola,O. Gross
L. Shiras,T. Benhabiles,R. Viver,M. Naewie,S. Youl,D. Musa,H. Holm,G. Etlis,L. Hewitt,M. Tillstrom
P. McEnroe,H. Leconte,V. Gabrichidze,J. Gisbert Jr,T. Henman,M. Petchey,B. Ellwood,R. Delgado,L. Burgsmuller,N. Massú
B. Dyke,J. Cunha-Silva,D. Rikl,T. Nydahl,S. Cortes,H. Holm,L. Burgsmuller,G. Grant,D. Nainkin,S. Prieto
T. Tulasne,F. Montana,M. Koevermans,X. Daufresne,T. Nydahl,T. Guardiola,A. Pavel,J. Salzenstein,E. Benfele Alvarez,M. Navarra
C. Costa,D. Rikl,X. Daufresne,J. Apell,S. Simian,H. Leconte,S. Sargsian,A. Chesnokov,P. Tramacchi,C. Rochus
W. Ferreira,T. Anzari,J. Burillo,M. Gorriz,B. Ulihrach,A. Ilie,F. Squillari,C. Mamiit,R. Furlan,T. Ketola
C. Miniussi,Y. Noah,S. Cortes,T. Ho,P. Wekesa,Y. Doumbia,O. Gross,F. Wibier,W. Schranz,S. Draper
P. Vojtischek,M. Wostenholme,M. Cierro,M. Jaite,M. Sinner,N. Lapentti,D. Pescariu,D. Wheaton,A. Cherkasov,E. Benfele Alvarez
H. Holm,G. Layendecker,D. Engel,C. Ruud,F. Sanchez,M. Tillstrom,D. Nainkin,I. Moldovan,T. Zib,T. Woodbridge
M. Sinner,N. Pereira,M. Jaite,B. Wuyts,A. Jarryd,F. Vitoux,S. Bryan,M. Rodriguez,M. Draper,E. Nicolas
C. Pridham,M. Damm,T. Hogstedt,D. Dier,L. Paes,L. Burgsmuller,D. Flach,M. Meneschincheri,C. Van Garsse,T. Guardiola
M. Wostenholme,S. Bryan,J. Fitzgerald,G. Solves,K. Goossens,R. Gilbert,A. Cherkasov,S. Huet,M. Meneschincheri,C. Vinck
M. Zoecke,V. Gabrichidze,J. Apell,A. Sznajder,N. Marques,A. Thoms,M. Meneschincheri,Y. Yoon,L. Morejon,E. Medica
M. Kaplan,M. Laurendeau,D. Marcelino,M. Ruah,D. Adams,J. Grabb,M. Sinner,C. Wilkinson,J. Apell,P. Kralert
P. Rebolledo,R. Krishnan,S. Simian,D. Nainkin,T. Gollwitzer,W. Kowalski,E. Ran,J. Oncins,A. Radulescu,A. Sa
C. Garner,F. Roig,N. Pereira,O. Fernandez,L. Rehmann,D. Dier,J. Krocsko,E. Erlich,E. Kempes,J. Lisnard
T. Wilkison,D. Engel,C. Saceanu,M. Stringari,M. Joyce,H. Arazi,D. Skoch,M. Petchey,F. Cabello,D. Pescariu
M. Gorriz,S. Youl,P. Arraya,K. Ullyett,A. Thoms,L. Jonsson,A. Savolt,D. Flach,R. Reneberg,J. Sekulov
J. Potier,J. Altur,M. Ruah,M. Visconti,R. Smith,R. Agenor,J. Szymanski,R. Schuettler,O. Serrano,O. Fukarek
M. Pernfors,A. Rahunen,G. Connell,J. Renzenbrink,E. Benfele Alvarez,D. Nargiso,J. Palmer,J. Perlant,S. Pescosolido,J. Andersen
P. Baur,M. Cierro,S. Dosedel,F. Roig,C. Caratti,R. Carretero,P. Campana,A. Belobrajdic,R. Wassen,V. Santopadre
M. Nido,S. Stolle,F. Roese,F. Dewulf,R. Vasek,P. Baur,F. Roig,A. Merinov,P. Luxa,G. Motomura
C. Saceanu,N. Borwick,C. Caratti,A. Mronz,S. Noszaly,O. Ogorodov,G. Solves,M. Puerta,R. Vasek,A. Calatrava
A. Olhovskiy,S. Zivojinovic,T. Ho,K. Jones,J. Noriega,B. Dunn,P. McEnroe,L. Arnold Ker,S. Prieto,V. Kutsenko
J. Oncins,D. Pescariu,F. Sanchez,D. Poliakov,J. Van Herck,J. Viloca-Puig,R. Jabali,N. Marques,T. Larsen,A. O'Brien
J. Eltingh,D. Goldie,K. Evernden,R. Azar,D. Nestor,A. Cherkasov,P. Arnold,A. Hernandez,T. Behrend,J. Vanek
B. Oresar,J. Fitzgerald,C. Allgardh,A. Thoms,D. Orsanic,T. El Sawy,F. Messori,G. Solves,R. Stepanek,P. Srichaphan
M. Laurendeau,M. Zillner,L. Nemecek,D. Randall,L. Barthez,D. Nestor,L. Jonsson,A. Clement,A. Savolt,O. Malcor
R. Gilbert,J. Morgan,J. Fleurian,K. Kucera,N. Borwick,L. Tieleman,L. Morejon,M. Carlsson,M. Washington,F. Costa
G. Lopez,L. Lobo,D. Dier,F. Roese,D. Musa,E. Benfele Alvarez,V. Santopadre,D. Dier,M. Hipfl,L. Horna
M. Schapers,J. Aguilera,O. Fernandez,H. Dreekmann,D. Nainkin,F. Fontang,T. El Sawy,G. Doyle,W. Arthurs,M. Martelli
S. Youl,J. Daher,C. Wilkinson,M. Knowles,H. De La Pena,M. Knowles,D. Sapsford,T. Carbonell,V. Voltchkov,R. Carretero
A. Boetsch,C. Pridham,D. Vacek,L. Jonsson,X. Daufresne,D. Pescariu,J. Oncins,A. Lopez Moron,G. Solves,A. Hernandez
C. Geyer,J. Brown,J. Arias,M. Valeri,O. Ortiz,R. Jabali,A. Portas,S. Grosjean,E. Medica,L. Paes
G. Pozzi,G. Stafford,C. Limberger,C. Pistolesi,L. Gloria,J. Renzenbrink,D. Dier,O. Motevassel,G. Etlis,D. Nargiso
L. Herrera,M. Rackl,H. De La Pena,J. Krocsko,C. Van Garsse,R. Weiss,H. Davids,F. Costa,J. Imaz-Ruiz,I. Gaudi
P. Aldrich,D. Orsanic,S. Bryan,P. Cane,D. Witt,P. Kilderry,J. Renzenbrink,R. Gilbert,P. Wessels,R. Gilbert
